,datetime,w,w_forecasted,d,d_forecasted
264,2021-04-12 00:00:00,18.081289,18.864489,64922.962,66311.0
265,2021-04-12 01:00:00,17.759925,17.810875,63088.98,64585.0
266,2021-04-12 02:00:00,16.936598,17.311305,62115.412,63886.0
267,2021-04-12 03:00:00,15.575867,17.332653,61910.261,63853.0
268,2021-04-12 04:00:00,15.873346,17.821967,63403.22,65459.0
269,2021-04-12 05:00:00,20.144847,20.794937,67245.423,69833.0
270,2021-04-12 06:00:00,22.863868,26.966365,73838.585,77057.0
271,2021-04-12 07:00:00,22.99381,28.507287,78605.962,82094.0
272,2021-04-12 08:00:00,22.80278,27.657399,80939.264,83840.0
273,2021-04-12 09:00:00,19.48873,31.0165,82028.873,83957.0
274,2021-04-12 10:00:00,21.661806,30.050927,82921.294,84049.0
275,2021-04-12 11:00:00,23.127357,30.146133,82758.464,83573.0
276,2021-04-12 12:00:00,23.738614,29.013493,83051.61,83060.0
277,2021-04-12 13:00:00,22.728587,26.658258,82675.925,82523.0
278,2021-04-12 14:00:00,28.29067,24.919031,81802.4,81783.0
279,2021-04-12 15:00:00,20.970416,23.427696,80783.449,81187.0
280,2021-04-12 16:00:00,21.088903,23.680532,80647.238,81286.0
281,2021-04-12 17:00:00,28.640603,23.87906,81263.496,82024.0
282,2021-04-12 18:00:00,22.194387,24.664385,81570.29,82782.0
283,2021-04-12 19:00:00,24.166492,32.67025,82054.758,83857.0
284,2021-04-12 20:00:00,40.730353,39.24863,82860.178,84671.0
285,2021-04-12 21:00:00,25.459283,27.086586,80485.429,82032.0
286,2021-04-12 22:00:00,24.255253,23.028865,76017.275,77386.0
287,2021-04-12 23:00:00,17.054918,21.022915,71572.987,72779.0
288,2021-04-13 00:00:00,17.605227,19.132217,68257.214,68648.0
289,2021-04-13 01:00:00,19.82094,18.940558,66336.625,66648.0
290,2021-04-13 02:00:00,16.339925,18.154792,65377.267,65733.0
291,2021-04-13 03:00:00,16.745913,18.368722,65238.802,65636.0
292,2021-04-13 04:00:00,18.511057,19.298842,66752.695,66982.0
293,2021-04-13 05:00:00,23.731916,22.372519,70628.943,70932.0
294,2021-04-13 06:00:00,22.534565,32.718717,76888.514,77321.0
295,2021-04-13 07:00:00,27.552077,38.717052,80866.25,81688.0
296,2021-04-13 08:00:00,29.776617,31.479927,82014.935,82869.0
297,2021-04-13 09:00:00,22.742133,32.315841,81901.078,82532.0
298,2021-04-13 10:00:00,23.725421,30.496702,80875.775,82035.0
299,2021-04-13 11:00:00,45.665174,28.129733,80215.504,81365.0
300,2021-04-13 12:00:00,27.409353,25.952082,79197.498,80649.0
301,2021-04-13 13:00:00,22.033511,24.410483,78477.822,80024.0
302,2021-04-13 14:00:00,21.920297,24.140268,77771.273,79146.0
303,2021-04-13 15:00:00,20.953366,22.540785,77101.708,78479.0
304,2021-04-13 16:00:00,25.836584,22.559774,77283.415,78594.0
305,2021-04-13 17:00:00,29.731663,23.19664,78013.151,79229.0
306,2021-04-13 18:00:00,26.726206,24.181033,78918.76,79880.0
307,2021-04-13 19:00:00,27.285825,32.419404,79810.717,81086.0
308,2021-04-13 20:00:00,64.163741,42.286903,81755.53,82262.0
309,2021-04-13 21:00:00,30.937441,28.70474,79512.53,80076.0
310,2021-04-13 22:00:00,22.395993,23.564212,74877.342,75682.0
311,2021-04-13 23:00:00,18.814692,21.463942,70234.004,71163.0
312,2021-04-14 00:00:00,19.639566,19.447511,66917.359,67799.0
313,2021-04-14 01:00:00,19.987927,19.45721,64887.892,65807.0
314,2021-04-14 02:00:00,20.132197,19.278006,64095.202,64888.0
315,2021-04-14 03:00:00,19.114435,19.352466,63979.45,64790.0
316,2021-04-14 04:00:00,21.646517,20.560952,65524.827,66177.0
317,2021-04-14 05:00:00,21.654844,23.522139,69323.798,70059.0
318,2021-04-14 06:00:00,40.632833,33.855292,75388.771,76429.0
319,2021-04-14 07:00:00,20.836004,37.695589,79295.476,80801.0
320,2021-04-14 08:00:00,21.058266,35.93798,80327.331,81988.0
321,2021-04-14 09:00:00,21.389348,36.164479,79881.594,81703.0
322,2021-04-14 10:00:00,22.674742,33.646737,79768.106,81274.0
323,2021-04-14 11:00:00,24.614737,31.141711,79831.849,80681.0
324,2021-04-14 12:00:00,24.138386,31.982348,80320.86,80193.0
325,2021-04-14 13:00:00,56.563897,28.859266,80599.457,79728.0
326,2021-04-14 14:00:00,24.267093,27.521718,80085.355,79022.0
327,2021-04-14 15:00:00,28.753565,29.196899,79638.255,78473.0
328,2021-04-14 16:00:00,22.17608,27.428739,79781.917,78665.0
329,2021-04-14 17:00:00,23.206259,28.69724,80175.866,79533.0
330,2021-04-14 18:00:00,25.552886,27.580637,80576.656,80154.0
331,2021-04-14 19:00:00,36.755237,31.373034,81341.433,81117.0
332,2021-04-14 20:00:00,37.327954,38.529976,82363.832,82343.0
333,2021-04-14 21:00:00,38.151455,30.973203,79980.59,80281.0
334,2021-04-14 22:00:00,31.780681,25.862404,75496.704,75912.0
335,2021-04-14 23:00:00,34.708331,22.857767,71205.866,71508.0
336,2021-04-15 00:00:00,19.660027,20.874802,67795.651,68536.0
337,2021-04-15 01:00:00,22.957447,20.692355,66064.056,66539.0
338,2021-04-15 02:00:00,20.129696,20.027265,65003.877,65544.0
339,2021-04-15 03:00:00,18.602496,20.069278,64934.861,65451.0
340,2021-04-15 04:00:00,21.27051,20.638467,66367.974,66791.0
341,2021-04-15 05:00:00,21.814817,22.573146,70112.164,70671.0
342,2021-04-15 06:00:00,37.564438,32.320897,76375.803,77071.0
343,2021-04-15 07:00:00,29.608986,35.396928,80742.135,81602.0
344,2021-04-15 08:00:00,48.520018,35.731421,82789.947,83227.0
345,2021-04-15 09:00:00,23.213539,35.391557,83408.367,83319.0
346,2021-04-15 10:00:00,24.779267,33.897346,83383.097,83088.0
347,2021-04-15 11:00:00,41.936098,32.282731,83139.255,82458.0
348,2021-04-15 12:00:00,26.932074,33.383253,82610.449,81730.0
349,2021-04-15 13:00:00,30.599313,30.235166,82052.828,81015.0
350,2021-04-15 14:00:00,23.604485,28.393888,81205.719,80025.0
351,2021-04-15 15:00:00,22.658509,26.231078,80154.767,79196.0
352,2021-04-15 16:00:00,23.844904,26.075268,80235.496,79110.0
353,2021-04-15 17:00:00,27.317055,27.476938,80866.026,79861.0
354,2021-04-15 18:00:00,25.007689,30.816566,81107.224,80567.0
355,2021-04-15 19:00:00,24.249975,34.719679,82236.586,81541.0
356,2021-04-15 20:00:00,31.376403,44.238104,84075.278,83245.0
357,2021-04-15 21:00:00,41.130783,32.988525,82110.535,81576.0
358,2021-04-15 22:00:00,25.159974,27.446133,77697.801,77368.0
359,2021-04-15 23:00:00,24.968306,23.183774,73571.834,73185.0
360,2021-04-16 00:00:00,24.210703,23.721026,70669.819,71190.0
361,2021-04-16 01:00:00,24.711641,22.500682,69107.288,69441.0
362,2021-04-16 02:00:00,22.942118,21.722381,68582.634,68672.0
363,2021-04-16 03:00:00,28.267305,22.182078,68719.258,68726.0
364,2021-04-16 04:00:00,27.125198,23.786862,70380.899,70282.0
365,2021-04-16 05:00:00,23.902233,27.322345,74629.938,74288.0
366,2021-04-16 06:00:00,23.600911,43.876668,81114.713,80797.0
367,2021-04-16 07:00:00,26.399769,48.995264,84930.926,85102.0
368,2021-04-16 08:00:00,22.758822,43.058721,85243.598,86043.0
369,2021-04-16 09:00:00,31.080931,39.133006,84696.397,85266.0
370,2021-04-16 10:00:00,24.410769,36.452311,84261.065,84281.0
371,2021-04-16 11:00:00,31.907544,34.324857,83762.657,82982.0
372,2021-04-16 12:00:00,28.602251,32.358204,82981.652,81763.0
373,2021-04-16 13:00:00,26.251629,31.778091,81630.625,80576.0
374,2021-04-16 14:00:00,24.62077,29.266989,79844.357,79234.0
375,2021-04-16 15:00:00,23.103359,27.22833,78657.339,78176.0
376,2021-04-16 16:00:00,22.113687,25.715323,78032.747,78020.0
377,2021-04-16 17:00:00,23.908792,26.922609,78288.126,78478.0
378,2021-04-16 18:00:00,23.405413,27.112823,78732.545,78896.0
379,2021-04-16 19:00:00,20.869156,31.877623,79722.649,79782.0
380,2021-04-16 20:00:00,23.869621,38.238038,81216.96,81237.0
381,2021-04-16 21:00:00,24.735734,30.994849,79931.121,79796.0
382,2021-04-16 22:00:00,21.619233,26.290428,76413.762,76576.0
383,2021-04-16 23:00:00,22.89586,24.269167,72609.859,72785.0
384,2021-04-17 00:00:00,45.76226,25.011047,69520.168,70033.0
385,2021-04-17 01:00:00,52.253979,25.149588,67713.804,68104.0
